label,dim1,dim2
wc0,-15.0649805,28.308554
wc0,-26.192917,15.905255
wc0,-28.388805,30.555948
wc0,-36.3737,28.119946
wc0,-24.511171,19.237476
wc0,-25.747534,33.641605
wc0,-31.912174,20.132084
wc0,-23.64319,17.378761
wc0,-29.510805,31.808603
wc0,-24.768522,38.448063
wc0,-24.832865,21.736204
wc0,-24.284906,37.41582
wc0,-18.519392,33.603287
wc0,-31.259884,35.74726
wc0,-20.939941,37.91524
wc0,-19.152523,21.084213
wc0,-24.616856,25.898401
wc0,-23.287422,24.248152
wc0,-23.192898,28.642609
wc0,-19.903318,22.085232
wc0,-35.47961,27.801256
wc0,-14.427399,30.365976
wc0,-38.92235,22.209494
wc0,-18.751022,24.610926
wc0,-36.38199,30.455544
wc0,-19.517628,28.603973
wc0,-16.215322,16.245993
wc0,-18.781883,18.6484
wc0,-14.027804,15.776958
wc0,-28.717241,12.2597475
wc0,-17.023785,26.610662
wc0,-26.107302,28.494604
wc0,-24.61491,16.490843
wc0,-17.326115,31.886335
wc0,-27.873957,31.02418
wc0,-18.01375,29.743544
wc0,-15.101522,23.78268
wc0,-12.030715,18.215023
wc0,-34.5914,32.79535
wc0,-21.518497,24.712313
wc0,-23.182535,19.325827
wc0,-25.317703,23.659512
wc0,-21.684742,20.90867
wc0,-16.65143,29.107523
wc0,-31.708109,32.35899
wc0,-27.432178,34.074043
wc0,-26.480185,13.595869
wc0,-23.3833,22.649282
wc0,-24.155617,19.273306
wc0,-17.859718,20.589815
wc0,-24.391638,15.870384
wc0,-28.650381,14.572191
wc0,-20.996012,24.093414
wc0,-31.87333,27.669182
wc0,-32.709732,21.54779
wc0,-20.186779,25.365728
wc0,-33.2347,27.792255
wc0,-18.009161,16.9309
wc0,-17.56881,22.179213
wc0,-11.67188,26.926622
wc0,-19.555416,24.99072
wc0,-22.834534,28.792925
wc0,-24.984545,24.573212
wc0,-16.121132,27.17039
wc0,-15.439316,30.172438
wc0,-19.889547,24.440603
wc0,-18.849533,25.028162
wc0,-13.873723,20.384203
wc0,-29.243366,12.617551
wc0,-33.737556,24.163668
wc0,-35.169827,19.200478
wc0,-37.201042,25.34054
wc0,-29.8113,33.604694
wc0,-21.361494,19.173933
wc0,-25.406698,24.179811
wc0,-27.628458,20.80615
wc0,-26.787346,26.73176
wc0,-16.996042,27.376314
wc0,-22.569426,22.95293
wc0,-17.562567,26.308935
wc0,-32.501076,23.29024
wc0,-33.575695,20.901659
wc0,-19.147844,22.577484
wc0,-19.175808,20.695927
wc0,-18.007332,19.077917
wc0,-36.39476,30.496368
wc0,-34.130272,25.290438
wc0,-38.256588,27.968456
wc0,-24.730917,33.84219
wc0,-29.734898,29.586935
wc0,-11.186834,17.604235
wc0,-23.840471,24.797773
wc0,-23.46262,27.93249
wc0,-16.772825,35.925404
wc0,-28.179363,35.139988
wc0,-25.95909,25.373266
wc0,-28.573679,17.620802
wc0,-24.35595,29.480322
wc0,-22.516342,37.283848
wc0,-17.3843,30.505898
wc0,-13.922461,32.612217
wc0,-28.48419,21.149834
wc0,-20.648441,21.141237
wc0,-30.711233,23.856426
wc0,-28.423182,23.936132
wc0,-34.95401,16.904865
wc0,-34.820347,20.322237
wc0,-34.226093,20.071877
wc0,-31.8904,21.512194
wc0,-35.474384,20.764307
