label,dim1,dim2
wc0,-13.711941,-0.88573396
wc0,-21.344109,-8.487228
wc0,-14.55577,7.164777
wc0,-28.234707,-2.9575102
wc0,-8.055215,-6.1171613
wc0,-25.602709,4.453713
wc0,-12.163148,-3.3474472
wc0,-14.545771,-7.992655
wc0,-11.884964,-4.4914975
wc0,-10.12323,-4.4513636
wc0,-13.68064,-4.230781
wc0,-21.510324,-7.4218473
wc0,-16.629591,4.9782662
wc0,2.0245962,-17.133944
wc0,-6.8763127,0.45892113
wc0,-20.473291,-9.809383
wc0,-14.435682,3.7042153
wc0,-20.57962,8.032341
wc0,-11.87685,-3.9904704
wc0,-17.181541,2.0781949
wc0,-0.6973548,4.8051314
wc0,-15.821437,-8.262692
wc0,-16.843115,3.0207188
wc0,-0.51060313,-6.4116755
wc0,-12.710975,3.9576306
wc0,-18.64385,-4.34371
wc0,-7.586129,-4.7658963
wc0,-7.045525,-5.633892
wc0,-0.93870974,-2.791638
wc0,-11.6188965,-7.407919
wc0,-19.478086,-5.72082
wc0,-21.076069,-12.839228
wc0,-11.630057,-4.5046186
wc0,-22.582155,9.351678
wc0,-12.162399,-10.21233
wc0,-16.971794,-12.890334
wc0,-20.28769,5.390591
wc0,-21.932438,4.4217467
wc0,-8.493744,1.6532942
wc0,-21.18001,2.1083548
wc0,-11.776885,-11.54725
wc0,-10.384679,1.3731936
wc0,-22.708138,-1.8947415
wc0,-18.217667,-0.066388965
wc0,-12.189535,-3.4007945
wc0,-19.529287,-11.515017
wc0,-17.829771,-0.5639025
wc0,-18.567856,5.9107757
wc0,-25.099915,-4.58748
wc0,-2.384789,-10.868235
wc0,-21.433517,-1.5196956
wc0,-6.3957725,-9.427358
wc0,-17.837187,0.6109434
wc0,-7.9206214,-2.3639183
wc0,-9.028603,-2.7055128
wc0,-9.504457,-2.0086327
wc0,-5.7195263,18.610796
wc0,-20.169819,-2.2538116
wc0,-17.153435,1.6145285
wc0,-6.3024454,-11.533917
wc0,-10.857546,7.6794057
wc0,-20.783966,7.8986616
wc0,-9.767676,-2.2709253
wc0,-22.076504,-9.899542
wc0,-9.886462,8.6863575
wc0,-8.631286,-7.7735705
wc0,-6.8105226,8.810156
wc0,-14.970343,10.805673
wc0,-16.464725,-1.738421
wc0,-16.062332,-5.5234475
wc0,-17.039991,0.4969449
wc0,0.67992324,-2.0044205
wc0,-30.71458,-4.0383334
wc0,-17.412281,-6.2040753
wc0,-25.759613,1.3611093
wc0,-29.1232,-6.2712154
wc0,-14.064312,7.6737595
wc0,-21.112982,5.8860703
wc0,4.887243,-6.589758
wc0,-22.337807,3.1956115
wc0,-9.837313,-17.663528
wc0,-28.79245,-10.01153
wc0,-8.454675,-13.212176
wc0,-16.322926,-1.3839095
wc0,-22.504477,-1.8522806
wc0,-14.408365,-6.613633
wc0,-13.760158,9.472172
wc0,-10.340937,-12.3774395
wc0,-4.462435,9.138131
wc0,3.4503655,8.755758
wc0,-29.267342,-1.5896213
wc0,-8.857801,-7.612982
wc0,-6.2765036,-9.853565
wc0,-15.12863,-0.48860747
wc0,-15.098825,-3.7381506
wc0,-13.389505,-10.409323
wc0,-15.8156395,-3.6722124
wc0,-22.604519,-4.4194665
wc0,-17.384623,-14.499348
wc0,-11.941657,-1.9111395
wc0,-13.856413,1.0964628
wc0,-4.041532,-6.395108
wc0,-8.727474,-13.475815
wc0,-16.832455,-5.8554835
wc0,-9.591112,1.7422436
wc0,-15.068189,1.0893366
wc0,-15.263326,3.7886689
wc0,-14.948719,-0.28917867
wc0,-12.03636,4.0164185
wc0,-5.759811,1.2112314
wc0,-17.856983,0.3828916
wc0,-14.841757,-5.0373006
wc0,-16.76417,-10.274416
wc0,-9.982007,-6.353552
wc0,-15.412858,-7.499003
wc0,-13.003358,-5.374303
wc0,-9.888816,-0.75709176
wc0,-21.969393,-10.555881
wc0,-13.509234,-8.973477
wc0,-17.829142,-0.3331317
wc0,-11.539463,-5.9522867
wc0,-11.420437,-4.1764116
wc0,-12.787401,-4.6882043
wc0,-14.431188,-11.885965
wc0,-17.652338,-9.359647
wc0,-20.927576,9.539493
wc0,-7.2631836,-8.669658
wc0,-18.529163,5.761312
wc0,-20.329031,3.3966622
wc0,-8.108452,-6.279571
wc0,-14.794187,-5.920967
wc0,-10.613602,-4.3979173
wc0,-17.893213,3.1451142
wc0,-9.111444,-8.1903305
wc0,-10.958655,-3.0479841
wc0,-10.586779,-6.0379276
wc0,-17.935606,-8.178854
wc0,-25.100565,-0.40127298
wc0,-16.63092,6.1000624
wc0,-24.953085,-13.18084
wc0,-13.205167,-7.337724
wc0,-11.548396,-7.7786098
wc0,-27.907059,1.2926487
wc0,-0.75574654,-0.06344292
wc0,-9.987161,-8.025148
wc0,-10.133896,-9.315643
wc0,-12.920554,-2.894423
wc0,-9.832164,-5.508427
wc0,-22.212725,-9.711221
wc0,-11.2717705,-0.90254986
wc0,-14.003193,-1.3272814
wc0,-16.720905,-5.2509546
wc0,-17.287539,-5.336253
wc0,-14.122558,-2.341851
wc0,-18.09134,-7.0827727
wc0,-6.4330173,8.510942
wc0,-4.1233006,8.968773
wc0,-18.411587,1.5972563
wc0,-12.587939,-9.884727
wc0,-21.298557,1.4136703
wc0,-26.469097,-2.0691435
wc0,-19.479567,0.67660326
wc0,-10.140118,-7.410698
wc0,-6.6485696,-2.951714
wc0,-24.850899,-7.231521
wc0,-18.98691,0.30044633
wc0,-9.241203,-0.7333554
wc0,-20.073462,-0.87961596
wc0,-13.048924,-6.782779
wc0,-21.977364,-6.5840273
wc0,-23.585617,-6.22367
wc0,-15.8692,-13.501251
wc0,-19.73683,14.092466
wc0,-18.330559,-4.936611
wc0,-6.8195543,-0.5920077
wc0,-24.6675,-2.1634598
wc0,-16.395672,-4.537728
wc0,-24.261646,-0.37387326
wc0,-24.099323,-4.549102
wc0,-7.760349,-1.4637022
wc0,-15.424804,14.361383
wc0,-10.919189,5.8824325
wc0,4.4175916,3.7933192
wc0,-12.0912895,4.2266016
wc0,-13.038573,-1.2225068
wc0,-10.617895,-7.449222
wc0,-29.03777,-6.081298
wc0,-25.241087,-10.768179
wc0,-22.419155,7.1710944
wc0,-17.218744,-0.8077603
wc0,-18.687952,-7.7303834
wc0,-23.284601,5.0071597
wc0,-24.963408,2.7502756
wc0,-11.45954,-0.84573597
